transaction_amount_usd,latent_v1,latent_v2,latent_v3,latent_v4,device_trust_score,is_fraud,amount_log,risk_interaction
32.63,0.145,0.281,1.858,0.971,0.708,0,3.515418525752178,0.3800153203342619
86.82,3.015,0.627,-0.669,-0.225,0.756,0,4.475289265133571,-0.1841710182767624
260.91,-0.877,-2.405,0.313,1.782,0.848,0,5.568000933297142,-4.995
28.68,-0.707,0.522,-0.172,-1.36,0.783,0,3.39047341829918,-0.8952332912988652
29.17,1.344,1.293,-0.311,1.228,0.721,0,3.40684805317097,2.172098495212038
32.18,0.057,0.285,-0.555,0.022,0.865,0,3.5019472847622986,0.007165714285714285
220.51,0.043,0.494,0.667,-0.063,0.895,0,5.4004677351929695,-0.03438895027624309
10.7,-1.594,-0.21,-2.472,-1.676,0.869,0,2.4595888418037104,0.40040955631399316
42.51,0.014,-1.262,0.491,0.989,0.798,0,3.772990796732589,-1.544700495049505
238.02,0.232,0.901,-0.469,0.03,0.772,0,5.476547230438735,0.034565217391304345
57.32,0.917,2.057,-0.874,0.963,0.864,0,4.065945087700403,2.266465675057208
12.84,1.508,-0.52,-0.015,-1.802,0.796,0,2.6275629501895237,1.1625806451612903
54.38,0.429,0.832,-0.222,0.286,0.953,0,4.014218517742816,0.24709449636552439
10.24,-0.326,0.741,0.129,-1.986,0.973,0,2.419478844465545,-1.4970762970498472
9.16,0.94,-0.39,-1.27,-0.439,0.823,0,2.318458442150336,0.2055342136854742
46.4,0.143,0.227,0.306,0.003,0.835,0,3.858622228701031,0.0008059171597633138
10.1,-0.437,-1.626,-0.772,0.89,0.871,0,2.4069451083182885,-1.6426106696935299
113.64,1.544,0.085,1.742,2.054,0.733,0,4.741796783519916,0.23497981157469716
16.46,-1.733,0.221,0.086,-0.424,0.856,0,2.859912550411456,-0.10820323325635103
299.76,-0.735,-0.027,1.205,0.183,0.989,0,5.706312604509826,-0.004945945945945946
52.83,0.627,-0.277,0.452,-1.209,0.818,0,3.985830932572866,0.4044601449275363
8.57,-1.276,-0.83,0.313,0.13,0.778,0,2.258633205464863,-0.13692893401015227
800.81,-3.414,2.991,-3.953,5.567,0.38,1,6.686871672068771,42.69460769230769
93.63,0.032,0.806,0.075,-1.025,0.737,0,4.549974550520141,-1.1059571619812583
81.3,2.339,-0.334,0.645,-0.012,0.811,0,4.410371107683024,0.004881851400730816
51.94,0.749,1.549,-0.735,-1.657,0.763,0,3.9691591967989552,-3.3204307891332467
292.47,-0.325,-0.937,-0.65,0.61,0.723,0,5.681775419393111,-0.779768076398363
59.68,0.589,0.667,-0.337,0.138,0.927,0,4.105614154480332,0.09823479188900748
163.75,0.041,1.433,0.583,-0.451,0.911,0,5.104429173382616,-0.7017187839305103
340.82,-0.445,-0.558,0.632,-0.623,0.754,0,5.834284282720359,0.4550183246073299
10.86,-0.425,1.058,0.192,1.199,0.961,0,2.4731713935695794,1.3064284243048405
226.54,0.798,-1.177,-0.102,0.99,0.876,0,5.4273260471115705,-1.315158013544018
22.75,-0.039,-1.755,0.12,-0.837,0.846,0,3.1675825304806504,1.7160455607476635
18.26,-1.931,-0.674,2.551,0.65,0.702,0,2.9580304063699794,-0.615308988764045
126.66,-0.881,1.404,-0.992,-0.554,0.867,0,4.849370479827911,-0.8869053591790195
19.3,1.369,-0.999,-2.06,1.091,0.822,0,3.0106208860477417,-1.3099867788461539
75.19,0.46,0.227,-0.787,-1.394,0.865,0,4.333230220484919,-0.36164342857142856
186.44,0.254,-0.622,-0.802,-2.455,0.714,0,5.2334587941995405,2.109129834254144
23.02,-0.228,1.439,-0.89,-1.522,0.948,0,3.1788868166518376,-2.28617745302714
122.5,-0.586,-0.349,0.264,-0.156,0.869,0,4.816241156068032,0.061938566552901024
69.81,-1.709,1.23,0.105,1.388,0.734,0,4.260000233663683,2.2946774193548385
16.75,0.724,0.061,0.76,-0.394,0.922,0,2.8763855159214247,-0.02578755364806867
29.21,-0.844,0.642,0.031,-2.329,0.91,0,3.4081729953985804,-1.6252369565217393
15.21,-0.406,-2.547,1.321,0.169,0.75,0,2.785628335747585,-0.5663723684210528
145.2,0.531,1.835,-0.735,1.667,0.74,0,4.9849755473156785,4.078593333333333
98.15,2.212,0.392,0.676,-0.269,0.87,0,4.5966338549658055,-0.11982727272727274
12.59,1.581,-0.31,-0.027,1.456,0.959,0,2.6093342281630525,-0.4657997936016512
31.48,0.877,-0.197,0.31,0.661,0.949,0,3.4806245152934774,-0.13578415015641293
12.9,-0.401,0.816,-0.547,-0.675,0.821,0,2.631888840136646,-0.6628158844765343
29.59,-0.816,-0.401,0.612,-1.726,0.828,0,3.420673158162812,0.8259260143198092
41.19,0.461,0.289,-0.765,1.169,0.916,0,3.7421832261362473,0.36483909287257016
19.01,-0.363,-0.869,-0.605,0.734,0.718,0,2.996232148595642,-0.8761620879120879
17.0,0.361,0.968,0.361,-1.611,0.853,0,2.8903717578961645,-1.8070081112398608
95.57,0.515,-0.377,1.113,-1.093,0.705,0,4.570268133978827,0.576309090909091
44.63,0.61,-2.08,0.677,-1.08,0.933,0,3.8205653949393112,2.382184517497349
75.15,0.823,1.224,1.121,-0.524,0.785,0,4.332705079341171,-0.8067622641509434
76.98,-0.687,1.393,-0.385,-1.868,0.937,0,4.356452383554451,-2.7477550158394934
230.94,2.014,0.562,0.764,-0.98,0.939,0,5.446478717528557,-0.5803582718651212
170.33,-0.821,-0.17,-1.5,-0.347,0.784,0,5.143591521344882,0.07429471032745592
130.76,1.907,-1.436,-0.26,-0.656,0.726,0,4.880982085869385,1.2799130434782608
281.95,-0.18,1.371,-0.984,-0.451,0.863,0,5.645270203588533,-0.7082714776632303
249.66,0.175,-0.965,-0.072,1.132,0.988,0,5.524097439183376,-1.094569138276553
101.63,-1.61,-0.697,-1.816,0.537,0.725,0,4.631130287657623,-0.5092367346938775
5.12,1.225,-0.183,-1.006,-0.976,0.746,0,1.8115620965242347,0.23625396825396824
20.23,0.912,-0.669,0.435,-0.305,0.795,0,3.055415275715165,0.253472049689441
15.18,0.337,0.915,-0.252,-1.204,0.783,0,2.7837759116303458,-1.3892307692307693
118.46,0.261,-0.025,-0.159,-0.487,0.84,0,4.7829815873041595,0.014323529411764707
64.45,1.136,-0.913,0.408,0.355,0.86,0,4.181286492355909,-0.3725459770114942
153.58,-0.829,-1.605,-0.349,-1.958,0.783,0,5.040711761678725,3.962912988650693
282.1,-0.628,-0.293,-0.69,0.042,0.732,0,5.6458001921178536,-0.016584905660377357
26.05,-2.424,-1.295,0.643,0.804,0.824,0,3.2976870052924907,-1.2484172661870505
39.51,1.072,-0.718,-0.111,1.442,0.738,0,3.701548857214599,-1.3841657754010694
27.83,-0.157,1.853,0.446,0.019,0.98,0,3.3614165116503107,0.03556262626262627
25.61,-0.524,0.539,0.66,-1.073,0.817,0,3.281287084989598,-0.6993313180169287
232.93,0.025,-0.884,-0.4,-1.03,0.88,0,5.455021925305676,1.0230561797752808
19.76,-0.355,-1.3,2.177,-1.125,0.721,0,3.033028058297688,2.000683994528044
26.86,1.092,-1.476,0.457,-0.251,0.884,0,3.3271919683516598,0.41440268456375834
11.34,0.062,-0.812,-0.858,-1.574,0.752,0,2.5128460184772416,1.6772808398950132
78.35,0.004,0.592,0.208,-0.723,0.799,0,4.373868446972418,-0.5290679851668726
169.68,-1.334,-0.284,0.587,-0.674,0.777,0,5.1397904583197995,0.2432223634053367
128.91,-0.634,-1.046,0.684,-0.053,0.97,0,4.866841903007641,0.05656938775510204
24.7,-0.98,-0.396,-3.071,0.778,0.961,0,3.246490991901174,-0.3172893923789908
231.04,-0.171,-2.406,-1.457,-0.422,0.758,0,5.4469097705978635,1.322046875
8.27,-1.314,0.793,0.419,0.36,0.84,0,2.2267833795777636,0.33585882352941177
50.73,-0.698,-0.954,-0.415,-1.126,0.964,0,3.9460378840154235,1.1028788501026694
86.21,0.68,-0.138,1.999,1.14,0.711,0,4.468319003238894,-0.21819694868238557
48.85,1.338,1.008,-1.41,1.086,0.727,0,3.9090184964078474,1.4853297150610585
52.35,-1.979,-0.269,-0.012,1.587,0.79,0,3.976873977747762,-0.53362875
147.05,0.389,0.826,0.086,-0.587,0.921,0,4.997550054547601,-0.5207969924812029
17.48,0.413,-0.293,-2.619,-1.291,0.702,0,2.916689066213538,0.5312682584269662
150.47,0.62,-2.131,1.184,1.036,0.977,0,5.020387585538934,-2.2367943262411347
69.42,0.529,-0.117,-1.374,0.967,0.737,0,4.254477313726906,-0.15145783132530122
162.14,1.407,-1.209,-1.411,-0.137,0.874,0,5.094608727872434,0.18736764705882356
10.32,1.208,-2.246,1.581,-0.407,0.94,0,2.4265710727750367,0.9622336842105264
130.38,0.735,0.062,0.296,0.289,0.788,0,4.878093887464327,0.02245363408521303
52.7,-1.219,-0.104,-0.787,-0.784,0.724,0,3.983413001514819,0.11108446866485014
229.24,1.799,0.859,-0.252,0.672,0.88,0,5.439122243139058,0.6485932584269662
8.36,0.442,-0.418,-0.685,1.224,0.809,0,2.2364452904895007,-0.6247032967032966
69.82,-0.668,-0.781,-0.621,0.862,0.756,0,4.2601414466837575,-0.8788798955613577
64.65,-0.383,0.542,-0.22,-0.645,0.917,0,4.184337600748806,-0.3771197411003236
73.0,0.461,1.301,-0.578,-0.008,0.985,0,4.30406509320417,-0.010460301507537687
46.11,0.441,-0.919,0.647,-1.628,0.87,0,3.85248529271195,1.70015
55.16,-0.51,0.73,1.698,-2.314,0.892,0,4.028204759717555,-1.8727494456762748
135.25,1.64,-1.182,1.451,-0.739,0.706,0,4.914491433543353,1.2199692737430168
24.52,1.055,-0.036,0.771,0.049,0.84,0,3.239462458476589,-0.002075294117647059
62.31,0.21,-0.264,0.398,-0.252,0.964,0,4.148043294556035,0.06830390143737167
248.96,2.018,0.231,-0.447,0.337,0.874,0,5.521300905060881,0.08806221719457015
65.7,-5.326,4.185,-5.373,2.328,0.223,1,4.200204952921578,41.814077253218876
87.96,0.007,-0.803,0.297,-1.274,0.885,0,4.488186830502272,1.143041340782123
74.15,-0.84,1.217,-0.382,1.506,0.84,0,4.319486116198983,2.156237647058824
93.78,-1.52,0.948,0.224,0.502,0.737,0,4.551558416539442,0.6370763052208835
42.5,1.16,0.32,-1.444,0.687,0.719,0,3.7727609380946383,0.3015637860082305
7.43,0.486,-0.325,1.62,-0.618,0.966,0,2.131796772013764,0.2057889344262295
49.57,0.077,-1.384,0.184,-0.414,0.866,0,3.9233585150918917,0.6540821917808218
207.31,0.095,-1.048,-0.23,0.97,0.84,0,5.339027354795824,-1.1959529411764704
11.21,-0.936,-1.184,-0.085,0.174,0.834,0,2.502255288122613,-0.2440947867298578
99.57,-0.05,-1.25,0.612,0.398,0.882,0,4.610854002456389,-0.5577354260089686
98.99,0.351,-0.47,0.205,-0.111,0.909,0,4.605070180987758,0.05676822633297062
124.14,-0.296,-1.462,1.333,0.582,0.73,0,4.829433110570218,-1.1498432432432433
283.79,-0.319,0.543,0.075,1.319,0.834,0,5.651752066561817,0.8485983412322275
37.09,1.599,0.563,1.773,-1.222,0.903,0,3.6399517804905126,-0.7535443592552025
110.55,-1.682,-0.296,-0.107,-1.62,0.957,0,4.714472920878541,0.4958841778697001
45.41,-0.391,0.242,0.249,-0.012,0.923,0,3.8375149532530846,-0.003112540192926045
25.09,-1.587,0.009,1.385,-0.447,0.924,0,3.261552099148637,-0.004307280513918629
27.01,0.163,0.745,0.038,-2.388,0.875,0,3.332561589272017,-2.010237288135593
74.76,1.284,-3.539,0.451,-0.467,0.857,0,4.327570448877823,1.9062433679354096
16.94,-0.149,0.509,0.057,-1.121,0.733,0,2.88703285663065,-0.7679528936742934
236.02,-0.577,-0.738,-1.716,-1.372,0.93,0,5.4681445257603025,1.0771659574468087
56.8,-0.536,-0.757,-1.181,0.031,0.877,0,4.056988775678332,-0.026456595264937995
75.9,0.285,0.14,-0.543,-0.377,0.788,0,4.3425058765115985,-0.06614035087719299
196.64,-0.162,-0.025,-0.591,-0.075,0.858,0,5.2864471939775495,0.002160138248847926
40.13,2.352,-0.552,0.374,0.852,0.826,0,3.716737782242333,-0.5625645933014355
150.49,-1.803,0.267,0.129,-0.346,0.95,0,5.020519616170232,-0.09623124999999999
20.11,0.362,0.32,-0.218,0.384,0.962,0,3.0497468618602293,0.12641975308641976
37.86,-0.627,0.073,-1.624,-0.37,0.755,0,3.659965443949294,-0.03530718954248366
99.22,-0.32,-2.405,-1.368,-1.106,0.98,0,4.607367769531579,2.68679797979798
92.21,-0.056,-0.383,-0.379,0.716,0.727,0,4.5348550120730655,-0.3720868385345997
125.73,1.293,1.95,-1.246,0.523,0.846,0,4.842058839093973,1.191413551401869
71.91,0.115,-0.056,0.49,0.755,0.723,0,4.289225803818339,-0.057680763983628924
14.54,-1.245,-0.026,-2.269,-0.209,0.885,0,2.7434173449395014,0.006071508379888267
16.74,-1.656,-0.512,0.967,-0.676,0.709,0,2.8758219768814333,0.48137969401947156
294.61,-1.905,0.258,-0.587,-0.186,0.987,0,5.6890410180011655,-0.04813239719157473
8.41,-0.73,1.974,-1.558,2.833,0.904,0,2.2417729535972883,6.118536105032823
10.99,-0.575,-0.617,-0.785,0.601,0.866,0,2.4840729690394228,-0.4233070776255708
25.6,-2.184,0.274,0.849,-1.275,0.855,0,3.2809112157876537,-0.4038728323699422
250.07,1.598,-0.855,2.816,-2.391,0.778,0,5.525731784712892,2.594295685279188
56.58,1.851,-0.262,-0.172,0.443,0.712,0,4.05317528518403,-0.1607562326869806
63.29,-1.257,0.169,0.379,0.695,0.832,0,4.163404098153595,0.13949524940617578
71.12,-0.068,1.192,-0.125,-2.338,0.868,0,4.2783313983351166,-3.1741412300683374
22.81,0.292,0.673,-0.781,0.26,0.875,0,3.170105660498771,0.1977175141242938
15.96,0.053,-0.821,1.558,-1.706,0.726,0,2.830857630363757,1.9030244565217391
52.93,1.834,0.598,-0.649,-0.28,0.983,0,3.9876869093491356,-0.16862034239677745
33.66,1.861,-0.946,-1.764,0.291,0.718,0,3.54558628428746,-0.3781401098901099
20.07,0.314,0.666,0.673,1.771,0.817,0,3.0478502278160975,1.4262224909310763
43.42,0.662,-1.106,-1.457,1.866,0.83,0,3.7936898184662815,-2.4569000000000005
29.92,-0.059,1.309,-1.869,0.415,0.753,0,3.4314032237192214,0.7119724770642201
12.64,-0.89,0.628,-0.907,1.572,0.821,0,2.613006652415316,1.1879855595667872
58.83,-0.789,-0.261,1.082,-1.258,0.893,0,4.09150720740194,0.3636079734219269
33.66,-1.375,-0.179,-0.159,0.218,0.766,0,3.54558628428746,-0.050286082474226806
32.88,0.335,-0.896,-1.36,1.228,0.905,0,3.522824869783854,-1.2025005464480873
74.29,0.784,-1.268,0.096,-1.016,0.827,0,4.321347323862031,1.5391732377538831
31.5,0.982,0.275,-1.391,-0.482,0.775,0,3.481240089335692,-0.16885350318471337
60.49,0.713,-0.229,-1.391,-1.447,0.811,0,4.118874559965378,0.40360901339829475
158.99,1.19,1.572,1.022,-0.533,0.711,0,5.075111313280621,-1.162102635228849
178.94,-2.498,0.313,2.092,-0.035,0.704,0,5.192623461988973,-0.015343137254901964
179.44,-1.99,-0.675,-0.184,-1.098,0.844,0,5.1953983125401955,0.867857142857143
48.94,-0.785,1.773,0.101,0.47,0.934,0,3.910822284851627,0.8827436440677965
14.84,-1.652,-1.04,1.089,0.209,0.723,0,2.7625383863862796,-0.29653478854024556
11.4,-0.399,0.486,0.506,1.991,0.942,0,2.517696472610991,1.0164138655462185
16.36,0.163,-1.063,-0.116,0.608,0.795,0,2.854168709232204,-0.8028621118012422
84.32,0.254,-0.897,-0.567,0.846,0.769,0,4.44640889360315,-0.9741489088575096
136.44,-0.158,-0.536,2.892,0.278,0.911,0,4.923187458235946,-0.1617893593919653
42.25,1.357,1.792,2.088,0.708,0.775,0,3.7669972333778885,1.6162242038216559
12.52,-0.292,-0.404,1.24,0.001,0.903,0,2.604170070614818,-0.0004424972617743702
137.27,-1.099,-1.717,-1.237,-0.427,0.718,0,4.929208295400526,1.0070865384615384
80.98,0.703,-0.528,0.257,0.118,0.819,0,4.406475315076191,-0.0751556091676719
97.19,2.208,-0.594,-1.34,-0.217,0.847,0,4.586904377181199,0.15040606767794631
68.92,0.603,0.795,-0.77,0.326,0.909,0,4.24735173134728,0.28201305767138196
63.97,-0.109,-0.378,-1.165,0.14,0.916,0,4.17392562489244,-0.05714902807775379
5.71,0.293,-1.202,0.453,0.233,0.905,0,1.9035989509835904,-0.3060830601092896
99.7,0.094,-1.036,-0.831,1.762,0.912,0,4.612145799724517,-1.9798611713665943
67.72,0.499,0.754,0.939,-1.223,0.751,0,4.230040277676,-1.2117503285151117
78.78,-0.285,0.64,-1.025,0.559,0.881,0,4.379272846477261,0.4015263748597082
39.86,-0.664,-1.027,-1.435,-0.579,0.83,0,3.710151589389476,0.7078964285714284
37.85,1.099,-0.189,-1.178,0.226,0.9,0,3.6597080768136565,-0.04693846153846154
66.23,0.791,0.306,0.905,-0.134,0.918,0,4.208119576480946,-0.0441853448275862
62.0,-1.636,0.968,-0.111,-0.291,0.881,0,4.143134726391533,-0.3161481481481481
9.93,-0.044,-0.415,-0.703,-1.905,0.776,0,2.391511302188447,1.0058206106870229
20.3,0.151,1.963,-0.616,-1.024,0.872,0,3.0587070727153796,-2.2790385487528346
11.37,0.589,0.728,0.828,0.969,0.894,0,2.5152741864043966,0.7803451327433627
60.09,-0.355,0.109,1.296,0.566,0.845,0,4.112348186661675,0.07215672514619882
42.6,0.862,-1.343,0.751,0.39,0.799,0,3.775057150354989,-0.6474289245982694
129.84,0.996,0.16,1.766,2.786,0.868,0,4.8739752026701835,0.5076993166287016
122.6,2.321,0.603,-0.908,-0.039,0.923,0,4.817050545023591,-0.02520578778135048
121.9,-1.125,-1.094,-0.341,0.535,0.872,0,4.811371016571989,-0.6635941043083902
238.65,-0.834,1.737,-1.072,1.302,0.78,0,5.47917952560564,2.8627518987341776
490.25,0.739,1.28,-0.444,-0.143,0.709,0,6.196953163183471,-0.25457579972183586
73.67,0.225,1.579,-1.297,-0.657,0.83,0,4.3130784050476105,-1.2350035714285716
11.39,-0.136,0.772,0.034,0.303,0.97,0,2.516889695641051,0.23868979591836736
5.46,0.398,0.245,0.703,-0.122,0.857,0,1.8656293177945105,-0.03447520184544406
68.72,0.706,0.228,0.625,-1.101,0.723,0,4.24448722065182,-0.3424665757162347
83.69,0.51,-0.726,-0.345,-1.872,0.874,0,4.4389975309335075,1.5374117647058825
20.97,-0.869,1.064,-0.954,0.453,0.9,0,3.089677886396519,0.5296615384615385
16.66,-1.535,-0.453,-0.846,0.883,0.956,0,2.8713021951758138,-0.4140776397515528
194.04,0.462,-1.233,-0.203,-0.772,0.907,0,5.273204665732961,1.0380327153762268
96.55,-1.442,0.827,-0.823,-0.253,0.909,0,4.5803650670691205,-0.22767247007616975
64.58,-1.004,0.835,-1.172,-1.241,0.707,0,4.1832707714165025,-1.44523709902371
40.45,0.028,0.022,-2.832,1.16,0.709,0,3.724487881581304,0.035493741307371346
184.66,-2.139,-0.146,1.328,2.209,0.764,0,5.223917043971786,-0.4166847545219638
52.61,1.291,0.865,-0.489,-0.616,0.776,0,3.9817356178394463,-0.677913486005089
8.28,-0.717,-0.345,0.316,-0.566,0.948,0,2.2278615467981093,0.20383089770354904
30.24,-1.482,-0.376,-1.676,0.108,0.973,0,3.441699324971485,-0.04131027466937945
205.93,-1.939,0.89,-1.315,-1.773,0.911,0,5.332380571823737,-1.7133224755700323
56.07,0.711,-1.922,-1.343,-0.396,0.954,0,4.044278584548617,0.7895352697095436
127.54,-0.142,2.51,-5.917,6.038,0.398,1,4.85624013994314,37.14553921568627
76.41,-0.727,-0.102,1.316,-0.145,0.878,0,4.349115971216622,0.016655405405405402
156.7,-1.04,-0.016,0.981,0.669,0.786,0,5.060694493968993,-0.013447236180904524
63.18,-1.796,-1.583,-0.51,-0.377,0.757,0,4.161691635681711,0.7780847457627118
9.84,-1.475,1.023,-1.264,-1.371,0.702,0,2.3832429960115,-1.9698497191011235
160.35,0.088,0.974,2.055,0.583,0.812,0,5.083575918497971,0.6908053527980534
93.56,2.16,-1.861,-0.504,0.561,0.814,0,4.549234553657788,-1.2670157766990293
37.36,-1.086,-0.31,1.422,0.017,0.828,0,3.6470152500152375,-0.006288782816229118
62.34,0.467,0.79,-1.7,-0.067,0.957,0,4.148517041110494,-0.05473629782833506
78.14,-0.725,-0.875,-0.456,1.284,0.843,0,4.371218435957278,-1.317116060961313
185.68,1.02,-2.369,0.792,-1.119,0.735,0,5.229395921081615,3.5582697986577183
15.27,1.767,-1.064,-0.853,0.562,0.723,0,2.7893229212309465,-0.8157817189631652
244.7,0.659,-0.446,0.371,0.495,0.749,0,5.504111279527133,-0.29086956521739127
151.61,0.505,1.406,-1.225,-0.84,0.735,0,5.027885647502783,-1.5852885906040266
65.59,-1.803,1.093,-2.229,-0.402,0.886,0,4.198554416122531,-0.4903861607142857
201.8,-0.387,-1.097,0.344,-0.988,0.911,0,5.312220271717028,1.1768034744842562
233.39,0.151,-0.64,2.035,0.358,0.941,0,5.456986394676763,-0.240925341745531
18.85,-0.774,-0.386,2.392,-0.767,0.709,0,2.9882040071331994,0.411769123783032
32.32,-0.078,-0.456,-1.04,0.421,0.963,0,3.506157817298642,-0.1973031860226105
66.73,0.811,0.901,-0.918,0.641,0.761,0,4.215529213226812,0.7490804150453957
104.08,-0.319,-1.456,0.67,0.665,0.831,0,4.654721964817339,-1.1512960760998812
138.55,0.451,0.988,-0.754,-0.906,0.791,0,4.938422959982331,-1.1175131086142323
15.56,-0.871,-0.68,0.881,-0.096,0.73,0,2.8069901489571136,0.08821621621621623
113.28,-0.616,0.286,0.126,0.778,0.805,0,4.738651577362572,0.27301595092024533
125.09,0.861,-1.08,2.074,-0.786,0.764,0,4.836995937685135,1.0967441860465117
101.08,-0.152,1.546,-0.818,2.204,0.959,0,4.6257568195964796,3.5163921568627456
63.56,0.403,0.457,-1.426,-0.473,0.818,0,4.1675950239616935,-0.26106400966183574
153.75,0.139,-1.547,-0.538,1.123,0.886,0,5.041810911564705,-1.9389296874999997
28.96,0.178,-0.236,-0.28,-0.491,0.948,0,3.3998631586490187,0.12095615866388308
41.16,-0.432,1.808,0.3,-0.576,0.709,0,3.741471904233107,-1.4484116828929068
178.55,0.973,0.624,-1.654,-1.034,0.768,0,5.1904537206720915,-0.8293264781491002
60.69,2.091,0.822,-0.013,-0.343,0.797,0,4.122121843221548,-0.34937546468401487
55.68,-1.733,1.901,1.574,-0.576,0.899,0,4.03742141482248,-1.2045940594059406
157.27,0.624,-1.425,-1.808,1.183,0.841,0,5.0643024353451915,-1.98093419506463
37.01,-0.368,-0.46,0.314,-0.678,0.892,0,3.6378492830011573,0.34576496674057655
260.67,2.099,-1.385,0.029,0.431,0.963,0,5.567084167886663,-0.6134994861253854
12.37,-0.256,-1.337,1.257,0.337,0.987,0,2.5930133911138515,-0.4519247743229689
46.86,-1.267,0.439,1.702,-0.036,0.923,0,3.868280082480227,-0.016938906752411574
63.85,-0.97,1.728,0.973,-0.924,0.77,0,4.172076910762453,-2.0470153846153845
21.01,-1.834,0.26,-0.879,0.297,0.89,0,3.0914968955383704,0.0858
33.31,0.738,-0.706,0.36,0.083,0.808,0,3.5354368568703585,-0.07163569682151588
102.24,-0.152,-0.641,0.045,0.533,0.783,0,4.637056374850413,-0.4308360655737705
