transaction_amount_usd,latent_v1,latent_v2,latent_v3,latent_v4,device_trust_score,is_fraud
46.86,-1.267,0.439,1.702,-0.036,0.923,0
63.85,-0.97,1.728,0.973,-0.924,0.77,0
21.01,-1.834,0.26,-0.879,0.297,0.89,0
33.31,0.738,-0.706,0.36,0.083,0.808,0
102.24,-0.152,-0.641,0.045,0.533,0.783,0
15.89,0.966,1.357,0.494,-0.138,0.706,0
35.77,-0.233,0.548,0.228,-1.649,0.939,0
14.25,0.572,-0.861,-1.417,-1.668,0.927,0
284.74,-0.216,-1.017,-2.326,-0.358,0.805,0
9.56,-0.629,1.829,0.517,-0.5,0.933,0
61.64,0.957,-1.396,-0.974,-0.782,0.912,0
8.5,-0.44,-0.595,0.034,0.736,0.806,0
180.67,-1.635,-1.04,-0.52,-1.245,0.792,0
101.14,0.617,-1.682,0.657,-0.139,0.809,0
97.72,-0.564,-0.37,-0.153,-0.346,0.746,0
21.25,-2.071,0.993,2.861,0.298,0.791,0
34.73,0.613,0.385,-0.284,0.753,0.86,0
42.87,0.238,-0.996,-1.433,0.121,0.831,0
140.51,-0.853,0.191,1.821,0.431,0.93,0
89.31,0.473,-0.781,-1.745,-0.922,0.894,0
25.7,0.798,0.176,-1.269,1.787,0.949,0
29.66,0.049,0.209,0.568,-0.696,0.706,0
149.3,1.305,-1.58,-1.039,1.292,0.731,0
11.14,0.59,2.54,0.068,1.7,0.823,0
48.15,0.896,-1.74,-0.197,1.167,0.705,0
11.58,0.501,0.011,-0.449,0.202,0.755,0
130.41,0.372,1.078,-0.222,0.068,0.94,0
136.96,0.878,-1.014,-0.529,-0.492,0.798,0
51.07,-3.254,1.195,-1.554,1.567,0.787,0
176.44,0.616,0.425,-1.102,-0.015,0.902,0
24.62,-0.715,-0.097,-0.14,0.122,0.962,0
174.73,1.663,-0.241,1.218,0.48,0.825,0
135.98,0.696,-0.059,-2.989,-1.09,0.928,0
151.51,-1.295,0.22,0.503,-0.035,0.918,0
146.68,-0.035,-0.511,1.043,0.463,0.714,0
167.65,-1.381,0.221,-1.151,-0.965,0.854,0
9.51,0.374,-0.409,-0.365,-0.503,0.831,0
66.88,-0.309,1.545,0.517,1.267,0.733,0
19.45,-2.034,-1.242,0.514,1.551,0.813,0
20.92,0.401,-1.452,0.522,-2.676,0.749,0
97.43,-0.448,0.652,0.447,-0.008,0.797,0
81.84,0.204,-0.79,0.918,0.687,0.904,0
80.73,1.126,-0.157,-0.001,0.601,0.97,0
79.41,-2.23,1.881,0.061,-1.622,0.81,0
55.58,-1.09,-0.142,1.515,0.411,0.743,0
77.1,-0.824,-0.747,-0.706,-0.352,0.986,0
36.37,-0.276,-0.339,-0.671,0.135,0.95,0
281.85,-0.314,-1.596,0.034,-0.117,0.82,0
31.76,0.597,-1.136,-1.242,-0.325,0.9,0
75.77,0.659,1.085,0.347,-0.685,0.828,0
251.51,0.377,-0.946,0.466,-0.121,0.796,0
283.38,-0.277,0.485,-0.406,-1.589,0.851,0
34.7,-0.447,-1.729,0.107,-0.094,0.904,0
12.57,1.315,1.285,0.144,-0.085,0.97,0
113.38,-0.268,0.175,-1.574,0.081,0.753,0
146.3,-0.095,-1.112,-1.25,0.211,0.792,0
51.96,-1.112,-0.966,0.775,0.179,0.784,0
22.44,1.312,0.936,-1.118,1.164,0.773,0
270.35,-0.081,0.8,-0.163,1.186,0.823,0
19.49,1.216,-2.393,-0.046,-0.394,0.927,0
101.86,0.73,0.241,0.041,-0.343,0.928,0
71.25,-0.831,-0.402,-0.076,1.001,0.955,0
79.93,1.034,0.592,-1.064,1.661,0.849,0
143.11,-1.382,-1.56,0.254,-0.702,0.82,0
49.22,-0.47,0.195,1.406,0.484,0.94,0
20.89,0.291,0.74,-0.04,1.036,0.857,0
218.67,-0.119,0.92,-0.713,-1.507,0.812,0
33.74,0.66,-0.423,0.205,-0.495,0.75,0
40.9,-0.092,-0.175,0.413,0.288,0.764,0
57.94,1.071,-0.085,0.08,1.6,0.895,0
164.77,-0.002,-0.012,0.24,0.407,0.857,0
69.11,0.29,-2.153,-0.952,1.811,0.907,0
172.87,-0.167,-1.189,1.678,-0.823,0.772,0
91.9,-0.215,0.993,-0.25,-0.368,0.976,0
275.12,0.011,-1.336,-1.524,0.714,0.95,0
33.33,1.118,1.199,-1.621,-0.698,0.935,0
141.96,2.249,-0.908,1.168,0.372,0.823,0
32.39,0.263,-1.704,-2.074,-1.761,0.726,0
112.78,-0.62,-0.586,-1.424,-0.456,0.869,0
44.47,1.692,-2.326,-0.469,-0.404,0.955,0
53.34,-0.466,-0.088,2.979,-0.111,0.862,0
109.35,-0.554,-0.721,-0.007,-1.126,0.762,0
10.27,-0.864,-0.423,0.293,1.826,0.742,0
5.79,-0.485,0.462,-1.628,1.06,0.87,0
37.24,-0.081,-0.121,-0.3,-1.301,0.891,0
31.03,0.012,-0.308,0.443,0.101,0.871,0
59.15,0.741,0.127,-0.514,0.953,0.769,0
30.9,1.693,0.031,-0.763,0.006,0.91,0
144.38,0.974,-1.25,0.949,-0.179,0.945,0
68.35,0.703,0.351,-1.984,-0.046,0.919,0
26.13,0.991,-0.302,-0.667,1.556,0.762,0
42.4,-0.833,-0.555,-0.861,0.845,0.832,0
269.39,-3.571,4.578,-2.77,6.063,0.218,1
53.06,0.025,-0.673,-1.192,0.016,0.73,0
16.21,0.231,-0.839,-0.624,-0.762,0.75,0
274.12,-0.411,0.541,-1.078,-0.641,0.843,0
6.68,0.276,2.042,0.572,0.596,0.737,0
48.22,-0.528,-0.71,0.392,-1.651,0.819,0
255.87,0.733,-0.724,-0.901,-0.407,0.949,0
36.4,0.797,1.905,-0.495,-3.348,0.912,0
12.81,0.715,0.304,-0.496,1.714,0.817,0
17.52,-1.08,0.02,1.589,-0.141,0.775,0
60.71,-0.287,1.15,-0.25,-0.318,0.817,0
163.88,1.292,-1.285,0.678,1.646,0.804,0
78.14,-0.638,-0.242,1.01,-1.332,0.795,0
47.22,-0.826,-1.252,1.598,-0.647,0.848,0
249.35,0.004,-0.591,0.77,0.154,0.714,0
77.43,-0.43,0.589,0.23,0.123,0.891,0
54.14,-0.48,-0.03,-0.187,1.955,0.736,0
25.5,0.118,-0.694,0.112,2.372,0.937,0
172.73,-0.718,1.709,1.939,0.853,0.802,0
216.66,0.391,-0.835,-1.126,-1.487,0.762,0
79.78,-0.5,-0.061,0.995,-0.578,0.9,0
114.69,-1.071,1.123,-0.284,-0.499,0.941,0
339.55,-0.279,-0.004,-0.415,-0.84,0.868,0
11.64,-0.16,0.527,0.052,0.077,0.919,0
84.32,1.459,1.34,0.87,2.085,0.986,0
117.02,0.438,0.326,2.244,-2.726,0.94,0
54.86,0.98,2.566,0.107,-0.431,0.94,0
19.57,1.622,1.634,-0.056,0.253,0.766,0
20.97,1.046,1.602,-0.697,0.243,0.959,0
46.91,-0.389,-1.926,1.004,-0.303,0.969,0
35.74,0.353,0.456,-1.63,0.556,0.939,0
5.45,-1.909,0.77,1.118,-1.369,0.947,0
84.86,-0.449,0.674,-2.785,1.098,0.703,0
74.17,0.984,1.729,0.486,1.609,0.719,0
15.52,-1.553,0.666,-0.132,-0.788,0.861,0
38.88,0.875,1.342,1.176,-0.772,0.888,0
91.24,-0.26,0.028,-0.934,1.481,0.973,0
149.81,-1.512,0.535,-0.597,-1.108,0.838,0
34.84,-1.265,0.056,1.769,0.2,0.826,0
89.52,-1.281,-1.027,-0.065,2.723,0.868,0
33.71,-0.7,-0.224,-1.258,0.879,0.953,0
61.4,0.175,-1.932,1.097,-2.013,0.733,0
498.51,-1.87,-0.917,-0.904,1.396,0.942,0
56.48,-0.568,0.318,0.474,0.696,0.761,0
18.34,-0.298,-1.652,-0.084,-0.384,0.866,0
265.12,1.336,0.07,-0.562,0.058,0.791,0
77.84,-0.715,-0.694,0.411,0.527,0.814,0
64.67,-1.652,-0.239,-0.501,0.005,0.738,0
190.02,-0.469,1.532,-2.294,0.303,0.915,0
135.33,0.787,0.931,-0.604,-1.101,0.836,0
39.14,-0.778,1.162,-0.288,-1.03,0.984,0
165.21,-5.283,7.78,-4.827,2.806,0.331,1
66.2,-0.39,0.687,1.186,-1.891,0.93,0
38.32,-0.699,0.415,-0.758,-0.446,0.935,0
26.41,0.202,0.099,2.507,1.74,0.834,0
38.52,2.426,-0.575,2.088,-0.426,0.96,0
274.62,-3.635,5.09,-2.91,4.962,0.43,1
28.85,0.142,1.674,0.877,-0.734,0.86,0
96.94,-0.214,-2.021,-1.378,1.7,0.758,0
282.16,1.74,0.085,-1.77,-1.087,0.818,0
49.73,2.027,2.06,-1.121,-0.009,0.844,0
20.75,1.639,1.079,0.809,-0.194,0.885,0
129.62,0.404,-0.115,0.318,0.288,0.75,0
31.86,-0.997,-0.933,-0.188,-0.353,0.758,0
27.42,0.292,1.378,-0.011,-0.076,0.818,0
15.28,1.19,1.037,0.968,0.936,0.7,0
266.58,0.437,0.401,0.245,-0.417,0.978,0
101.47,0.633,0.1,2.105,-1.21,0.838,0
234.57,0.002,-0.813,1.019,0.653,0.869,0
208.66,-0.325,-0.067,0.433,-2.006,0.964,0
164.32,0.873,2.426,0.48,-0.281,0.969,0
48.79,-0.258,0.869,-0.174,1.714,0.736,0
228.56,1.687,-0.33,-0.081,-0.022,0.729,0
63.28,-1.087,1.25,1.09,1.073,0.904,0
62.66,-0.022,0.863,-1.389,-0.23,0.789,0
8.68,-1.325,0.704,1.029,-0.744,0.795,0
28.57,0.495,-0.597,-0.134,-1.073,0.847,0
103.84,1.15,0.493,-0.042,-0.094,0.781,0
18.42,-1.008,-1.117,2.086,0.279,0.811,0
113.04,-1.252,-0.978,-0.422,0.036,0.723,0
51.0,0.088,0.175,0.702,1.47,0.938,0
49.0,0.066,-1.527,1.783,2.273,0.864,0
257.46,-0.271,-0.464,1.211,-0.017,0.846,0
122.17,-0.412,-0.601,-0.744,0.514,0.802,0
31.15,1.324,-0.955,0.863,-2.063,0.729,0
785.68,-1.325,1.914,-5.852,4.852,0.404,1
86.4,-1.278,-0.287,-0.617,-1.11,0.935,0
106.12,-0.337,1.523,-0.786,1.498,0.761,0
90.13,1.982,-0.444,1.205,0.146,0.921,0
10.11,0.374,0.901,0.846,-0.342,0.758,0
11.93,0.532,0.457,0.214,-0.203,0.899,0
67.4,-0.295,1.207,-0.62,-0.881,0.846,0
69.42,0.568,0.595,1.407,0.408,0.756,0
9.37,0.816,-1.059,0.984,-0.237,0.786,0
6.02,0.672,-1.715,0.63,-2.242,0.954,0
212.06,-0.276,-1.706,0.633,0.069,0.99,0
27.82,-0.771,1.434,-0.897,-3.031,0.707,0
103.71,0.514,-1.767,-0.865,-0.517,0.818,0
27.47,-1.405,0.162,-1.229,0.03,0.895,0
124.18,-0.082,-0.989,0.159,-0.696,0.777,0
68.75,0.807,0.033,2.209,1.306,0.816,0
258.09,-0.73,0.942,-0.229,1.168,0.94,0
152.13,0.595,-0.92,-1.022,-1.057,0.786,0
114.91,-0.821,0.538,-0.252,-0.38,0.81,0
59.92,-0.967,1.182,-0.539,-1.9,0.882,0
